"variable","iteration","chain","mean"
"psu","4","Chain 4",NA
"logweight","4","Chain 4",NA
"ra","5","Chain 4",NA
"asthma_aux","5","Chain 4",NA
"age1","5","Chain 4",NA
"age2","5","Chain 4",NA
"age3","5","Chain 4",NA
"sex","5","Chain 4",NA
"race","5","Chain 4",NA
"education","5","Chain 4",1.90697674418605
"pir","5","Chain 4",4.72204365503959
"smoke","5","Chain 4",1.83018867924528
"cycle","5","Chain 4",NA
"stratum","5","Chain 4",NA
"psu","5","Chain 4",NA
"logweight","5","Chain 4",NA
"ra","6","Chain 4",NA
"asthma_aux","6","Chain 4",NA
"age1","6","Chain 4",NA
"age2","6","Chain 4",NA
"age3","6","Chain 4",NA
"sex","6","Chain 4",NA
"race","6","Chain 4",NA
"education","6","Chain 4",5
"pir","6","Chain 4",0.773851915257874
"smoke","6","Chain 4",2.0188679245283
"cycle","6","Chain 4",NA
"stratum","6","Chain 4",NA
"psu","6","Chain 4",NA
"logweight","6","Chain 4",NA
"ra","7","Chain 4",NA
"asthma_aux","7","Chain 4",NA
"age1","7","Chain 4",NA
"age2","7","Chain 4",NA
"age3","7","Chain 4",NA
"sex","7","Chain 4",NA
"race","7","Chain 4",NA
"education","7","Chain 4",1.68604651162791
"pir","7","Chain 4",0.772229830943729
"smoke","7","Chain 4",2
"cycle","7","Chain 4",NA
"stratum","7","Chain 4",NA
"psu","7","Chain 4",NA
"logweight","7","Chain 4",NA
"ra","8","Chain 4",NA
"asthma_aux","8","Chain 4",NA
"age1","8","Chain 4",NA
"age2","8","Chain 4",NA
"age3","8","Chain 4",NA
"sex","8","Chain 4",NA
"race","8","Chain 4",NA
"education","8","Chain 4",1
"pir","8","Chain 4",4.71781938797346
"smoke","8","Chain 4",1
"cycle","8","Chain 4",NA
"stratum","8","Chain 4",NA
"psu","8","Chain 4",NA
"logweight","8","Chain 4",NA
"ra","9","Chain 4",NA
"asthma_aux","9","Chain 4",NA
"age1","9","Chain 4",NA
"age2","9","Chain 4",NA
"age3","9","Chain 4",NA
"sex","9","Chain 4",NA
"race","9","Chain 4",NA
"education","9","Chain 4",1.38372093023256
"pir","9","Chain 4",4.79370853841215
"smoke","9","Chain 4",1
"cycle","9","Chain 4",NA
"stratum","9","Chain 4",NA
"psu","9","Chain 4",NA
"logweight","9","Chain 4",NA
"ra","10","Chain 4",NA
"asthma_aux","10","Chain 4",NA
"age1","10","Chain 4",NA
"age2","10","Chain 4",NA
"age3","10","Chain 4",NA
"sex","10","Chain 4",NA
"race","10","Chain 4",NA
"education","10","Chain 4",2.16279069767442
"pir","10","Chain 4",0.77564305585278
"smoke","10","Chain 4",2.07547169811321
"cycle","10","Chain 4",NA
"stratum","10","Chain 4",NA
"psu","10","Chain 4",NA
"logweight","10","Chain 4",NA
"ra","1","Chain 5",NA
"asthma_aux","1","Chain 5",NA
"age1","1","Chain 5",NA
"age2","1","Chain 5",NA
"age3","1","Chain 5",NA
"sex","1","Chain 5",NA
