analysis,cycle,ra,outcome,variable,n,missing_n,missing_pct,weighted_missing_pct
primary,2005,0,0,pir,3943,192,4.8693887902612225,3.6866646234011475
primary,2005,0,0,smoke,3943,4,0.10144559979710879,0.09437144228303716
primary,2005,0,1,age,310,0,0.0,0.0
primary,2005,0,1,sex,310,0,0.0,0.0
primary,2005,0,1,race,310,0,0.0,0.0
primary,2005,0,1,education,310,0,0.0,0.0
primary,2005,0,1,pir,310,13,4.193548387096775,4.3649537627439265
primary,2005,0,1,smoke,310,0,0.0,0.0
primary,2005,1,0,age,200,0,0.0,0.0
primary,2005,1,0,sex,200,0,0.0,0.0
primary,2005,1,0,race,200,0,0.0,0.0
primary,2005,1,0,education,200,0,0.0,0.0
primary,2005,1,0,pir,200,10,5.0,4.82479263517077
primary,2005,1,0,smoke,200,0,0.0,0.0
primary,2005,1,1,age,37,0,0.0,0.0
primary,2005,1,1,sex,37,0,0.0,0.0
primary,2005,1,1,race,37,0,0.0,0.0
primary,2005,1,1,education,37,0,0.0,0.0
primary,2005,1,1,pir,37,2,5.405405405405405,4.50374487201621
primary,2005,1,1,smoke,37,0,0.0,0.0
primary,2007,0,0,age,4572,0,0.0,0.0
primary,2007,0,0,sex,4572,0,0.0,0.0
primary,2007,0,0,race,4572,0,0.0,0.0
primary,2007,0,0,education,4572,4,0.08748906386701663,0.06964613619673916
primary,2007,0,0,pir,4572,413,9.033245844269466,7.396008119465819
primary,2007,0,0,smoke,4572,4,0.08748906386701663,0.04442113020550583
primary,2007,0,1,age,327,0,0.0,0.0
primary,2007,0,1,sex,327,0,0.0,0.0
primary,2007,0,1,race,327,0,0.0,0.0
primary,2007,0,1,education,327,0,0.0,0.0
primary,2007,0,1,pir,327,35,10.703363914373089,11.048647880869776
primary,2007,0,1,smoke,327,1,0.3058103975535168,0.36264676591961015
primary,2007,1,0,age,295,0,0.0,0.0
primary,2007,1,0,sex,295,0,0.0,0.0
primary,2007,1,0,race,295,0,0.0,0.0
primary,2007,1,0,education,295,0,0.0,0.0
primary,2007,1,0,pir,295,24,8.135593220338983,6.447025815482113
primary,2007,1,0,smoke,295,0,0.0,0.0
primary,2007,1,1,age,49,0,0.0,0.0
primary,2007,1,1,sex,49,0,0.0,0.0
primary,2007,1,1,race,49,0,0.0,0.0
primary,2007,1,1,education,49,0,0.0,0.0
primary,2007,1,1,pir,49,3,6.122448979591836,2.0403858216891284
primary,2007,1,1,smoke,49,0,0.0,0.0
primary,2009,0,0,age,4894,0,0.0,0.0
primary,2009,0,0,sex,4894,0,0.0,0.0
primary,2009,0,0,race,4894,0,0.0,0.0
primary,2009,0,0,education,4894,13,0.2656313853698406,0.22400598834349691
primary,2009,0,0,pir,4894,498,10.175725378013894,8.303521147599762
primary,2009,0,0,smoke,4894,0,0.0,0.0
primary,2009,0,1,age,363,0,0.0,0.0
primary,2009,0,1,sex,363,0,0.0,0.0
primary,2009,0,1,race,363,0,0.0,0.0
primary,2009,0,1,education,363,1,0.27548209366391185,0.16037275885912597
primary,2009,0,1,pir,363,25,6.887052341597796,4.297680837766232
primary,2009,0,1,smoke,363,0,0.0,0.0
primary,2009,1,0,age,268,0,0.0,0.0
primary,2009,1,0,sex,268,0,0.0,0.0
primary,2009,1,0,race,268,0,0.0,0.0
primary,2009,1,0,education,268,0,0.0,0.0
primary,2009,1,0,pir,268,18,6.7164179104477615,6.8205346980965285
primary,2009,1,0,smoke,268,0,0.0,0.0
primary,2009,1,1,age,46,0,0.0,0.0
primary,2009,1,1,sex,46,0,0.0,0.0
primary,2009,1,1,race,46,0,0.0,0.0
primary,2009,1,1,education,46,0,0.0,0.0
primary,2009,1,1,pir,46,5,10.869565217391305,9.31421025088178
primary,2009,1,1,smoke,46,0,0.0,0.0
primary,2011,0,0,age,4494,0,0.0,0.0
primary,2011,0,0,sex,4494,0,0.0,0.0
primary,2011,0,0,race,4494,0,0.0,0.0
primary,2011,0,0,education,4494,1,0.022251891410769914,0.0073236919251240635
primary,2011,0,0,pir,4494,385,8.566978193146417,6.2531130706139
primary,2011,0,0,smoke,4494,7,0.1557632398753894,0.10407815914810335
primary,2011,0,1,age,376,0,0.0,0.0
primary,2011,0,1,sex,376,0,0.0,0.0
primary,2011,0,1,race,376,0,0.0,0.0
primary,2011,0,1,education,376,0,0.0,0.0
primary,2011,0,1,pir,376,36,9.574468085106384,7.096516981407916
primary,2011,0,1,smoke,376,0,0.0,0.0
primary,2011,1,0,age,210,0,0.0,0.0
primary,2011,1,0,sex,210,0,0.0,0.0
primary,2011,1,0,race,210,0,0.0,0.0
primary,2011,1,0,education,210,1,0.4761904761904762,0.1342878601548215
primary,2011,1,0,pir,210,23,10.952380952380953,7.8185087944378955
primary,2011,1,0,smoke,210,0,0.0,0.0
primary,2011,1,1,age,38,0,0.0,0.0
primary,2011,1,1,sex,38,0,0.0,0.0
primary,2011,1,1,race,38,0,0.0,0.0
primary,2011,1,1,education,38,1,2.631578947368421,0.994586202794385
primary,2011,1,1,pir,38,4,10.526315789473683,3.503406974090717
primary,2011,1,1,smoke,38,0,0.0,0.0
primary,2013,0,0,age,4670,0,0.0,0.0
primary,2013,0,0,sex,4670,0,0.0,0.0
primary,2013,0,0,race,4670,0,0.0,0.0
primary,2013,0,0,education,4670,4,0.08565310492505353,0.07429936858254707
primary,2013,0,0,pir,4670,376,8.051391862955033,6.825497123748315
primary,2013,0,0,smoke,4670,1,0.021413276231263382,0.016314193889318443
primary,2013,0,1,age,414,0,0.0,0.0
primary,2013,0,1,sex,414,0,0.0,0.0
primary,2013,0,1,race,414,0,0.0,0.0
primary,2013,0,1,education,414,2,0.4830917874396135,0.24557325983200937
primary,2013,0,1,pir,414,30,7.246376811594203,6.421904492242224
primary,2013,0,1,smoke,414,0,0.0,0.0
primary,2013,1,0,age,213,0,0.0,0.0
primary,2013,1,0,sex,213,0,0.0,0.0
primary,2013,1,0,race,213,0,0.0,0.0
primary,2013,1,0,education,213,0,0.0,0.0
primary,2013,1,0,pir,213,12,5.633802816901409,5.542086124934064
primary,2013,1,0,smoke,213,1,0.4694835680751174,0.14358771334216344
primary,2013,1,1,age,41,0,0.0,0.0
primary,2013,1,1,sex,41,0,0.0,0.0
primary,2013,1,1,race,41,0,0.0,0.0
primary,2013,1,1,education,41,0,0.0,0.0
primary,2013,1,1,pir,41,0,0.0,0.0
primary,2013,1,1,smoke,41,0,0.0,0.0
primary,2015,0,0,age,4619,0,0.0,0.0
primary,2015,0,0,sex,4619,0,0.0,0.0
primary,2015,0,0,race,4619,0,0.0,0.0
primary,2015,0,0,education,4619,2,0.043299415457891316,0.010291997163975672
primary,2015,0,0,pir,4619,500,10.824853864472828,8.405615326429894
primary,2015,0,0,smoke,4619,7,0.15154795410261962,0.10712820751598158
primary,2015,0,1,age,385,0,0.0,0.0
primary,2015,0,1,sex,385,0,0.0,0.0
primary,2015,0,1,race,385,0,0.0,0.0
primary,2015,0,1,education,385,1,0.2597402597402597,0.07449383758990313
primary,2015,0,1,pir,385,37,9.61038961038961,7.120730316120773
primary,2015,0,1,smoke,385,1,0.2597402597402597,0.07449383758990313
primary,2015,1,0,age,244,0,0.0,0.0
primary,2015,1,0,sex,244,0,0.0,0.0
primary,2015,1,0,race,244,0,0.0,0.0
primary,2015,1,0,education,244,0,0.0,0.0
primary,2015,1,0,pir,244,28,11.475409836065573,9.35473230860464
primary,2015,1,0,smoke,244,0,0.0,0.0
primary,2015,1,1,age,48,0,0.0,0.0
primary,2015,1,1,sex,48,0,0.0,0.0
primary,2015,1,1,race,48,0,0.0,0.0
primary,2015,1,1,education,48,0,0.0,0.0
primary,2015,1,1,pir,48,9,18.75,16.588466269423048
primary,2015,1,1,smoke,48,1,2.083333333333333,1.5433957551587367
primary,2017,0,0,age,4353,0,0.0,0.0
primary,2017,0,0,sex,4353,0,0.0,0.0
primary,2017,0,0,race,4353,0,0.0,0.0
primary,2017,0,0,education,4353,8,0.1837813002526993,0.12649579823747784
primary,2017,0,0,pir,4353,593,13.622788881231335,11.478727234224355
primary,2017,0,0,smoke,4353,0,0.0,0.0
primary,2017,0,1,age,402,0,0.0,0.0
primary,2017,0,1,sex,402,0,0.0,0.0
primary,2017,0,1,race,402,0,0.0,0.0
primary,2017,0,1,education,402,1,0.24875621890547264,0.05640622235148894
primary,2017,0,1,pir,402,45,11.194029850746269,8.759794313820947
primary,2017,0,1,smoke,402,0,0.0,0.0
primary,2017,1,0,age,281,0,0.0,0.0
primary,2017,1,0,sex,281,0,0.0,0.0
primary,2017,1,0,race,281,0,0.0,0.0
primary,2017,1,0,education,281,0,0.0,0.0
primary,2017,1,0,pir,281,41,14.590747330960854,12.05785827173611
primary,2017,1,0,smoke,281,0,0.0,0.0
primary,2017,1,1,age,54,0,0.0,0.0
primary,2017,1,1,sex,54,0,0.0,0.0
primary,2017,1,1,race,54,0,0.0,0.0
primary,2017,1,1,education,54,1,1.8518518518518516,1.0736200548623118
primary,2017,1,1,pir,54,10,18.51851851851852,19.656852232552232
primary,2017,1,1,smoke,54,0,0.0,0.0
